week,year,t,y,mu_true,amp_true
47,2,99,2.1072767210706362,2.2638684960283735,0.9
48,2,100,2.064514291894205,2.393224179977971,0.9
49,2,101,3.1117708289052786,2.543750288585868,0.9
50,2,102,2.6066870923488565,2.711075076246461,0.9
51,2,103,2.848940803744559,2.8900534272470146,0.9
52,2,104,3.197518115742686,3.075000000000001,0.9
0,3,104,3.7200453591780267,3.075,1.0
1,3,105,3.0399519204701653,3.280381489687332,1.0
2,3,106,3.345415554826975,3.479142604199499,1.0
3,3,107,3.77097777223904,3.6649663012498763,1.0
4,3,108,4.12189247636315,3.8321357902884143,1.0
5,3,109,3.894657195651542,3.9757935816511805,1.0
6,3,110,4.32927159874002,4.092153878928255,1.0
7,3,111,4.488602087936397,4.178656990462327,1.0
8,3,112,3.888413451880144,4.234057742794461,1.0
9,3,113,4.060714364707025,4.25844363775708,1.0
10,3,114,4.494169893063929,4.2531824884427545,1.0
11,3,115,3.6837593285838484,4.220803266666886,1.0
12,3,116,4.70355678685071,4.164817664952539,1.0
13,3,117,4.293640478114651,4.089493201993922,1.0
14,3,118,3.4252714008359706,3.9995913904535607,1.0
15,3,119,3.5205928717260964,3.9000863853303134,1.0
16,3,120,4.06026734287995,3.795880531527409,1.0
17,3,121,3.8047099763670937,3.6915332744662437,1.0
18,3,122,3.6307286061080535,3.591018986973738,1.0
19,3,123,3.48035581593746,3.4975274540943255,1.0
20,3,124,3.7555487230639164,3.413318152135751,1.0
21,3,125,3.3409338735685874,3.339636212404282,1.0
22,3,126,3.181358798581634,3.2766942640999623,1.0
23,3,127,3.3574146488211225,3.223720421143295,1.0
24,3,128,3.060590640693261,3.1790687441445886,1.0
25,3,129,3.2190297240540815,3.1403848012155815,1.0
26,3,130,2.7048356316045004,3.1048156864453027,1.0
27,3,131,2.9062010843918404,3.0692512232759444,1.0
28,3,132,3.2888631968316306,3.0305812353561494,1.0
29,3,133,3.0633007898552926,2.9859528173943994,1.0
30,3,134,3.040606804818141,2.933011538535214,1.0
31,3,135,2.7105068618216848,2.8701114608355414,1.0
32,3,136,2.6919144570058258,2.7964807000771397,1.0
33,3,137,3.5808580081486654,2.7123318877368834,1.0
34,3,138,2.5033434985051337,2.6189101578146374,1.0
35,3,139,2.9047951977526743,2.518474989729908,1.0
36,3,140,2.5923835128908435,2.4142161720586883,1.0
37,3,141,1.9926039179753374,2.3101080815811,1.0
38,3,142,2.045180964909668,2.210710168095461,1.0
39,3,143,1.8839388269494695,2.1209247813079477,1.0
40,3,144,2.1462173634997628,2.0457260814489384,1.0
41,3,145,2.048445577856413,1.9898755868438143,1.0
42,3,146,1.912653390377714,1.9576408222840092,1.0
43,3,147,1.479027585358463,1.952533486827437,1.0
44,3,148,2.064636012143799,1.977082559265491,1.0
45,3,149,2.539959789347141,2.0326558601116504,1.0
46,3,150,2.036261365526056,2.1193408990681952,1.0
47,3,151,2.1960652855500373,2.235892510999302,1.0
48,3,152,2.490630316053486,2.3797510130285997,1.0
49,3,153,2.061561927500656,2.547130617989803,1.0
50,3,154,2.512136563322033,2.7331738459304633,1.0
51,3,155,2.857340073754705,2.9321639164853086,1.0
52,3,156,3.1220228129288903,3.137783798031555,1.0
0,4,156,2.8645258126693927,3.137783798031554,1.1
1,4,157,3.8527248301820807,3.3638376421598513,1.1
2,4,158,3.6878707200548284,3.582607612939629,1.1
3,4,159,3.6945842296300824,3.7871449773593744,1.1
4,4,160,4.0394543776300065,3.97116127906629,1.1
5,4,161,4.407076719888604,4.1293132924375895,1.1
6,4,162,4.361280574609765,4.257436654191733,1.1
7,4,163,4.236312639825404,4.3527157160432095,1.1
8,4,164,4.781413663265056,4.4137807994989835,1.1
9,4,165,4.458675610740766,4.4407281686666815,1.1
10,4,166,4.403433671877427,4.435062429825944,1.1
11,4,167,4.24270802976739,4.399565463642885,1.1
12,4,168,3.9591201513717214,4.338100143358727,1.1
13,4,169,3.9506781642534667,4.25536075080478,1.1
14,4,170,3.4760065320497096,4.156584960984281,1.1
15,4,171,4.0700055192454805,4.047244355282047,1.1
16,4,172,4.104141304120832,3.9327315237939544,1.1
17,4,173,4.097773687753739,3.818061867006623,1.1
18,4,174,4.07344820859122,3.707607205377868,1.1
19,4,175,3.539704112710136,3.6048763126341115,1.1
20,4,176,3.586778455356703,3.5123546227248448,1.1
21,4,177,2.957639483103684,3.431411789935325,1.1
22,4,178,3.436229355245428,3.3622817160751883,1.1
23,4,179,3.0210251679649582,3.304115335991525,1.1
24,4,180,3.6447546626247362,3.2551021257387642,1.1
25,4,181,3.302954906069076,3.2126522194749567,1.1
26,4,182,3.2311216916149847,3.173627429788614,1.1
27,4,183,3.068741485230147,3.134606571415459,1.1
28,4,184,3.22161463734616,3.0921684591802343,1.1
29,4,185,2.9567103029410595,3.0431749059385247,1.1
30,4,186,2.7779046219428425,2.985036046293587,1.1
31,4,187,3.100830946699056,2.9159413569232995,1.1
32,4,188,2.9011491562228398,2.8350417734766147,1.1
33,4,189,2.402011191811953,2.742571198743654,1.1
34,4,190,2.942322547425626,2.6398992881690426,1.1
35,4,191,2.699390825351771,2.529511477040831,1.1
36,4,192,2.7963018974174627,2.4149165406035444,1.1
37,4,193,1.6872132261846795,2.300486301013053,1.1
38,4,194,2.275398513064037,2.191236160634431,1.1
39,4,195,2.261647653924081,2.0925587116229103,1.1
40,4,196,2.2804575752255993,2.0099255376041145,1.1
41,4,197,2.4003776781137818,1.948574316004144,1.1
42,4,198,1.6273128733577553,1.9131993312598639,1.1
43,4,199,1.769140265104604,1.9076634594014572,1.1
44,4,200,2.2296579409937953,1.9347485840681513,1.1
45,4,201,2.143832662349966,1.9959593146976562,1.1
46,4,202,1.9464777886332527,2.091391918741472,1.1
47,4,203,2.555893118137584,2.2196767212371626,1.1
48,4,204,2.2282484122966575,2.3779980776174914,1.1
49,4,205,2.7178699833439413,2.56219162850789,1.1
50,4,206,2.823977811720624,2.7669141523823155,1.1
51,4,207,2.821842979219573,2.985877197175605,1.1
52,4,208,3.2757412888718207,3.2121320343559656,1.1
0,5,208,2.917492434765745,3.2121320343559643,1.2000000000000002
1,5,209,3.785823054861152,3.4588202652170508,1.2000000000000002
2,5,210,4.078500649830226,3.6975615034641773,1.2000000000000002
3,5,211,3.7227006478080282,3.9207753189754238,1.2000000000000002
4,5,212,3.9277570051946773,4.121601583362327,1.2000000000000002
5,5,213,4.315362136452415,4.2942113289581805,1.2000000000000002
6,5,214,4.782898676297881,4.434061619668046,1.2000000000000002
7,5,215,4.559248758829326,4.538080844775332,1.2000000000000002
8,5,216,4.706329833207234,4.604774815084702,1.2000000000000002
9,5,217,4.459535413627512,4.634248551441385,1.2000000000000002
10,5,218,4.563006499291285,4.628143447901199,1.2000000000000002
11,5,219,4.443275053474628,4.589494288693003,1.2000000000000002
12,5,220,4.359039966751869,4.522515122607507,1.2000000000000002
13,5,221,4.615114873783536,4.432326989560242,1.2000000000000002
14,5,222,4.671162694150653,4.324643721954728,1.2000000000000002
15,5,223,4.261675941730627,4.205434322730473,1.2000000000000002
16,5,224,3.9508263711912104,4.080581622450782,1.2000000000000002
17,5,225,4.008177186801724,3.9555569720453088,1.2000000000000002
18,5,226,3.5394353619311443,3.835129635080674,1.2000000000000002
19,5,227,3.6802472003680147,3.72312736954049,1.2000000000000002
20,5,228,3.5184291856673684,3.622261562685771,1.2000000000000002
21,5,229,2.821931273846693,3.534026387542488,1.2000000000000002
22,5,230,3.6462632052856208,3.4586770143810153,1.2000000000000002
23,5,231,3.052556026027733,3.3952871949131396,1.2000000000000002
24,5,232,3.162190917691667,3.3418818166601247,1.2000000000000002
25,5,233,3.3162365972040213,3.295635575931367,1.2000000000000002
26,5,234,3.1459831902689412,3.253125,1.2000000000000002
27,5,235,3.253132246916312,3.21061789115839,1.2000000000000002
28,5,236,3.1731739239541747,3.164382051746391,1.2000000000000002
29,5,237,2.691995646530832,3.110994009179617,1.2000000000000002
30,5,238,3.244871385571527,3.047628460004954,1.2000000000000002
31,5,239,2.969919075642857,2.9723102920762035,1.2000000000000002
32,5,240,2.887061605701185,2.884113257532796,1.2000000000000002
33,5,241,2.5498687628630523,2.783292527167915,1.2000000000000002
34,5,242,2.6918730258642762,2.6713422746255993,1.2000000000000002
35,5,243,2.690998962805832,2.5509738878802835,1.2000000000000002
36,5,244,2.454535542587684,2.426015125724464,1.2000000000000002
37,5,245,2.5232647163634607,2.301235252629252,1.2000000000000002
38,5,246,2.2210558249494015,2.182105620524522,1.2000000000000002
39,5,247,2.0396827260652457,2.0745090610697123,1.2000000000000002
40,5,248,2.0727722929931427,1.9844145783965428,1.2000000000000002
41,5,249,1.5535658615829733,1.9175360061970137,1.2000000000000002
42,5,250,2.0183381848756117,1.8789943857716151,1.2000000000000002
43,5,251,2.0396063825187065,1.8730037673927242,1.2000000000000002
44,5,252,2.098923970724919,1.9025989368678058,1.2000000000000002
45,5,253,2.069968643449872,1.9694212899284818,1.2000000000000002
46,5,254,2.196948922979993,2.0735758491932548,1.2000000000000002
47,5,255,2.423182616363482,2.2135684273378238,1.2000000000000002
48,5,256,2.932589212909598,2.386327415614691,1.2000000000000002
49,5,257,2.9943994662407984,2.587309879996398,1.2000000000000002
50,5,258,2.848339420993831,2.8106868549824404,1.2000000000000002
51,5,259,3.5364304580169463,3.049598214449633,1.2000000000000002
52,5,260,3.432883490868178,3.296463530640787,1.2000000000000002
0,6,260,3.4574904323571074,3.2964635306407857,1.3
1,6,261,3.5743640330941595,3.5637618522769645,1.3
2,6,262,3.5672671509501863,3.822450240463636,1.3
3,6,263,3.9911046179192637,4.064316565771699,1.3
4,6,264,3.8571108772167766,4.281929025618334,1.3
5,6,265,4.176033022786111,4.46897290817145,1.3
6,6,266,5.218912869692353,4.620526702437648,1.3
7,6,267,4.901832501269975,4.733262833219785,1.3
8,6,268,4.472381856633651,4.805562598605551,1.3
9,6,269,4.980660081154074,4.837539774197159,1.3
10,6,270,4.773187570373783,4.830972539879271,1.3
11,6,271,5.03899205236147,4.78914858152874,1.3
12,6,272,4.9308213323242365,4.716633121602883,1.3
13,6,273,5.024719498845536,4.618973956249762,1.3
14,6,274,4.362310731378752,4.5023610734519925,1.3
15,6,275,4.345146333893368,4.37326089591247,1.3
16,6,276,4.331395169772518,4.2380464928998585,1.3
17,6,277,4.070151344752346,4.102645164053382,1.3
18,6,278,3.6401143536346927,3.9722236143430356,1.3
19,6,279,3.7008924515403936,3.8509285843316183,1.3
20,6,280,3.543032247307002,3.741697412940529,1.3
21,6,281,3.832722709064538,3.6461487903116248,1.3
22,6,282,3.9216124469262743,3.564559153576951,1.3
23,6,283,3.5124213669475037,3.495925069739171,1.3
24,6,284,3.538994091217638,3.438106836237283,1.3
25,6,285,2.819685533491231,3.388043710007154,1.3
26,6,286,3.057587248822003,3.3420269315054005,1.3
27,6,287,3.167692986125087,3.296013289103146,1.3
28,6,288,3.001564346168535,3.245959571200271,1.3
29,6,289,3.3558748710996684,3.1881570183396613,1.3
30,6,290,2.660232630128139,3.1195448876009793,1.3
31,6,291,3.4935966018270506,3.0379834766245573,1.3
32,6,292,3.2612248218598907,2.942469352671954,1.3
33,6,293,2.7985472710502273,2.8332789531916975,1.3
34,6,294,2.971914229982112,2.712030968699753,1.3
35,6,295,2.69750673698485,2.581662738549287,1.3
36,6,296,2.301050236605138,2.4463210037925767,1.3
37,6,297,1.9903607973172024,2.311172469946856,1.3
38,6,298,1.9881333606811635,2.1821444372564103,1.3
39,6,299,2.6389749497402275,2.0656099756528468,1.3
40,6,300,1.4919121683719725,1.968035508559961,1.3
41,6,301,1.8581360814570722,1.895611024739306,1.3
42,6,302,1.7776123117940017,1.8538843211759928,1.3
43,6,303,2.1414860943394336,1.8474206212226003,1.3
44,6,304,1.8980610773593831,1.8795076117095462,1.3
45,6,305,2.0354101469766857,1.9519234735334656,1.3
46,6,306,1.8883932497135754,2.064781983367055,1.3
47,6,307,2.4071257375981627,2.216464440427132,1.3
48,6,308,2.064104919086131,2.403643270704426,1.3
49,6,309,2.4903331663744037,2.6213969644522956,1.3
50,6,310,3.11657251075314,2.8634108111444294,1.3
51,6,311,3.303921365259388,3.1222530095629466,1.3
52,6,312,3.4892315717397877,3.389711431702999,1.3
0,7,312,3.2488763885116065,3.3897114317029975,1.4000000000000001
1,7,313,3.6349066301538455,3.677602572704951,1.4000000000000001
2,7,314,3.89516310469325,3.956220940080214,1.4000000000000001
3,7,315,4.394106159829565,4.216722704111947,1.4000000000000001
4,7,316,3.9725023667807293,4.451104387055832,1.4000000000000001
5,7,317,4.761817907556273,4.652565531960416,1.4000000000000001
6,7,318,4.752598543974114,4.815806051992811,1.4000000000000001
7,7,319,5.090440920466458,4.937242406547007,1.4000000000000001
8,7,320,5.316283582857971,5.015131380077909,1.4000000000000001
9,7,321,5.038404158380754,5.049595502041168,1.4000000000000001
10,7,322,4.835807899424341,5.0425497372588195,1.4000000000000001
11,7,323,4.850004453636054,4.997534672376094,1.4000000000000001
12,7,324,4.895353424999927,4.919466702648957,1.4000000000000001
13,7,325,5.49853441126358,4.814320379601493,1.4000000000000001
14,7,326,4.520497274940177,4.688761845950177,1.4000000000000001
15,7,327,4.715656158541463,4.5497549433271125,1.4000000000000001
16,7,328,4.64575216810876,4.404162978883032,1.4000000000000001
17,7,329,4.115751471060542,4.2583692001541475,1.4000000000000001
18,7,330,4.150254326182242,4.117937752711757,1.4000000000000001
19,7,331,4.340131812391938,3.987334358906124,1.4000000000000001
20,7,332,3.3821056758276917,3.869722308537484,1.4000000000000001
21,7,333,3.5137345179591843,3.766844808092035,1.4000000000000001
22,7,334,3.280110973731637,3.678999560801794,1.4000000000000001
23,7,335,3.966919981403203,3.605105948208273,1.4000000000000001
24,7,336,3.4996134558194116,3.542859676925702,1.4000000000000001
25,7,337,3.281561158722542,3.4889645637832785,1.4000000000000001
26,7,338,3.0416637687930037,3.4394265616971738,1.4000000000000001
27,7,339,3.4093891594693897,3.389891444402407,1.4000000000000001
28,7,340,3.224580922737194,3.336004985652935,1.4000000000000001
29,7,341,3.2656350422694205,3.2737731384217463,1.4000000000000001
30,7,342,3.3642665782287993,3.199899719632739,1.4000000000000001
31,7,343,2.8690685194611136,3.1120804360327323,1.4000000000000001
32,7,344,2.9683012096335664,3.0092346693337317,1.4000000000000001
33,7,345,2.5639758539417876,2.8916601229761554,1.4000000000000001
34,7,346,3.208365163419785,2.7611000036925373,1.4000000000000001
35,7,347,2.7925913677358625,2.620717601567394,1.4000000000000001
36,7,348,2.2643987087602033,2.4749786392732416,1.4000000000000001
37,7,349,2.1459482249027957,2.329447262741624,1.4000000000000001
38,7,350,1.946457740109171,2.1905067199070234,1.4000000000000001
39,7,351,1.8276687118281425,2.065020318356494,1.4000000000000001
40,7,352,1.8571690246237327,1.9599519001965497,1.4000000000000001
41,7,353,1.7366632687137262,1.8819676086561983,1.4000000000000001
42,7,354,2.275229438322486,1.8370419958102167,1.4000000000000001
43,7,355,2.2009160751929713,1.8300914575034704,1.4000000000000001
44,7,356,1.9481107219930371,1.8646565810083406,1.4000000000000001
45,7,357,2.0935060038010422,1.942652331812312,1.4000000000000001
46,7,358,2.0616941887831146,2.064201240074831,1.4000000000000001
47,7,359,1.7568381897200154,2.22756009099301,1.4000000000000001
48,7,360,2.5941488558277603,2.4291453447415003,1.4000000000000001
49,7,361,2.596697005688998,2.6636569153065954,1.4000000000000001
50,7,362,2.4621472871272223,2.9242943465946225,1.4000000000000001
51,7,363,2.9264698157743223,3.203054161757681,1.4000000000000001
52,7,364,3.3391326148068443,3.491092532014081,1.4000000000000001
0,8,364,3.553858822344269,3.49109253201408,1.5
1,8,365,4.06488830134205,3.7995633984003545,1.5
2,8,366,4.122560544314287,4.0980987143166825,1.5
3,8,367,4.173266828899438,4.377222949247184,1.5
4,8,368,4.694060157903165,4.628360949780524,1.5
5,8,369,4.892006201375108,4.844226513346088,1.5
6,8,370,5.0937264519877,5.019140976777299,1.5
7,8,371,5.274633430461488,5.149264833570631,1.5
8,8,372,4.850083593632927,5.2327303540650085,1.5
9,8,373,4.990675128832693,5.2696688210917095,1.5
10,8,374,5.5575371147316375,5.262131983937632,1.5
11,8,375,5.259688024453094,5.213913329549102,1.5
12,8,376,5.071113760880079,5.130280425518601,1.5
13,8,377,5.3382531682800884,5.017634578289187,1.5
14,8,378,5.047097460864123,4.8831180848591496,1.5
15,8,379,4.5864045577554196,4.734192205342696,1.5
16,8,380,4.552013537445708,4.578210484330391,1.5
17,8,381,4.242430040098777,4.422012116817992,1.5
18,8,382,4.5402248488009915,4.2715586885453956,1.5
19,8,383,4.159416602127465,4.131634903222291,1.5
20,8,384,3.8239393953228227,4.005630001104311,1.5
21,8,385,3.7956814384095345,3.8954117046030996,1.5
22,8,386,3.852843304950962,3.8012989826362165,1.5
23,8,387,3.52020752536408,3.722134030874013,1.5
24,8,388,3.8250016135486278,3.655447964700297,1.5
25,8,389,3.9092163983973767,3.5977091604362323,1.5
26,8,390,3.47697455275328,3.5446382830604177,1.5
27,8,391,3.655621070057054,3.491570091278819,1.5
28,8,392,3.1918780895883976,3.433839343810643,1.5
29,8,393,3.3612813891131705,3.3671667056742174,1.5
30,8,394,3.004539372794802,3.288020553256925,1.5
31,8,395,3.0123298100770386,3.19393200203528,1.5
32,8,396,2.848252583735269,3.083743247798843,1.5
33,8,397,2.909254479762998,2.957773259610887,1.5
34,8,398,2.903232319999618,2.817889760055277,1.5
35,8,399,2.704263211239335,2.6674819895863955,1.5
36,8,400,2.544662883215962,2.5113346521392113,1.5
37,8,401,2.0016242510446536,2.3554093337054494,1.5
38,8,402,2.5661182694642837,2.20654522955926,1.5
39,8,403,2.0838687804328657,2.0720958845961706,1.5
40,8,404,1.3369387168140365,1.9595225592619574,1.5
41,8,405,1.6738350557656565,1.8759675509130858,1.5
42,8,406,1.482089497443214,1.827832166377425,1.5
43,8,407,1.6901348530122504,1.8203839736589282,1.5
44,8,408,2.0867458887895656,1.857416460142072,1.5
45,8,409,2.3946157861233757,1.940981375578613,1.5
46,8,410,1.9908876838761318,2.0712100032914176,1.5
47,8,411,2.0569942356393605,2.2462346141377676,1.5
48,8,412,2.713684974722845,2.462215702159276,1.5
49,8,413,2.6562640685931047,2.7134746047613367,1.5
50,8,414,3.502989560626925,2.9927251199721616,1.5
51,8,415,3.4849822424185906,3.2913920950061257,1.5
52,8,416,3.620784583205032,3.600000000000002,1.5
