"y","region","z","g_true"
1.152053,r04,0.707785,-0.158895
0.103843,r04,0.274537,-0.158895
0.138513,r04,0.177214,-0.158895
1.516266,r04,0.398303,-0.158895
0.985849,r04,0.510763,-0.158895
1.384128,r04,0.406823,-0.158895
0.146415,r04,0.950539,-0.158895
0.094332,r04,0.037219,-0.158895
1.045932,r04,0.455465,-0.158895
1.093407,r05,0.489473,-0.15313
0.386834,r05,0.115088,-0.15313
1.015367,r05,0.254426,-0.15313
1.265207,r05,0.759722,-0.15313
-0.218959,r05,0.006248,-0.15313
0.460025,r05,0.41759,-0.15313
0.329592,r05,0.08379,-0.15313
0.428733,r05,0.193576,-0.15313
1.108646,r05,0.694945,-0.15313
-0.032643,r05,0.111081,-0.15313
1.145241,r05,0.749484,-0.15313
-0.096945,r05,0.079295,-0.15313
1.771144,r05,0.337463,-0.15313
-0.19045,r05,0.054457,-0.15313
0.1846,r05,0.839117,-0.15313
0.389751,r05,0.918649,-0.15313
0.8704,r05,0.363807,-0.15313
0.665086,r05,0.661917,-0.15313
0.11017,r05,0.910022,-0.15313
0.228465,r05,0.174827,-0.15313
1.008724,r06,0.177985,0.293066
1.803543,r06,0.658582,0.293066
1.860756,r06,0.348931,0.293066
0.12634,r06,0.050888,0.293066
0.175771,r06,0.016372,0.293066
1.584868,r06,0.561374,0.293066
0.375354,r06,0.955611,0.293066
1.361937,r06,0.52216,0.293066
1.980895,r06,0.41186,0.293066
1.67423,r06,0.39973,0.293066
1.168798,r06,0.159917,0.293066
1.859695,r06,0.77449,0.293066
1.079848,r06,0.174791,0.293066
1.849274,r06,0.52088,0.293066
1.65406,r06,0.290797,0.293066
1.697816,r06,0.697349,0.293066
1.902941,r06,0.634104,0.293066
1.791562,r06,0.591809,0.293066
1.423912,r06,0.152094,0.293066
1.555293,r06,0.432527,0.293066
1.80172,r07,0.019253,1.73869
2.352338,r07,0.899968,1.73869
2.982613,r07,0.119452,1.73869
2.822402,r07,0.661346,1.73869
2.26124,r07,0.877804,1.73869
1.849669,r07,0.841629,1.73869
3.004916,r07,0.562234,1.73869
3.361836,r07,0.430835,1.73869
1.467119,r07,0.039723,1.73869
1.684503,r07,0.961239,1.73869
2.000511,r07,0.219463,1.73869
2.015419,r07,0.872302,1.73869
1.955083,r07,0.872779,1.73869
3.594706,r07,0.381441,1.73869
1.897862,r07,0.047295,1.73869
3.173368,r07,0.371736,1.73869
1.403597,r07,0.908733,1.73869
3.157533,r07,0.272973,1.73869
2.792398,r07,0.775519,1.73869
3.366934,r07,0.747455,1.73869
2.436916,r08,0.616793,1.143815
2.000771,r08,0.572794,1.143815
1.497507,r08,0.1078,1.143815
1.881551,r08,0.829534,1.143815
2.478961,r08,0.465588,1.143815
2.288681,r08,0.335802,1.143815
2.484353,r08,0.36616,1.143815
3.058844,r08,0.619454,1.143815
1.714995,r08,0.857535,1.143815
1.934558,r08,0.341685,1.143815
2.388748,r08,0.294752,1.143815
1.343588,r08,0.085411,1.143815
1.662253,r08,0.996448,1.143815
1.899086,r08,0.198832,1.143815
2.702938,r08,0.629626,1.143815
3.150836,r08,0.284165,1.143815
1.692657,r08,0.087513,1.143815
1.82533,r08,0.262453,1.143815
2.529055,r08,0.430461,1.143815
3.00401,r08,0.639143,1.143815
2.404977,r09,0.645202,0.469002
1.767009,r09,0.700284,0.469002
2.268834,r09,0.342357,0.469002
1.283791,r09,0.851912,0.469002
0.608306,r09,0.056195,0.469002
2.238853,r09,0.643133,0.469002
1.420616,r09,0.71076,0.469002
0.704261,r09,0.773994,0.469002
1.768988,r09,0.406429,0.469002
1.613176,r09,0.856078,0.469002
1.254427,r09,0.789245,0.469002
0.971521,r09,0.856956,0.469002
1.980492,r09,0.666017,0.469002
2.560254,r09,0.726743,0.469002
1.5139,r09,0.806463,0.469002
1.149758,r09,0.128061,0.469002
1.987232,r09,0.166062,0.469002
1.095253,r09,0.795535,0.469002
-0.162647,r09,0.968407,0.469002
1.621215,r09,0.723162,0.469002
1.039193,r10,0.348666,0.031625
0.798526,r10,0.777515,0.031625
1.083872,r10,0.073827,0.031625
1.644715,r10,0.626959,0.031625
0.528822,r10,0.865862,0.031625
-0.265805,r10,0.953124,0.031625
1.371184,r10,0.302207,0.031625
0.037162,r10,0.176942,0.031625
1.326499,r10,0.637869,0.031625
0.596836,r10,0.332388,0.031625
1.355294,r10,0.793398,0.031625
0.971943,r10,0.790516,0.031625
0.646161,r10,0.268955,0.031625
1.528172,r10,0.454731,0.031625
0.709665,r10,0.908082,0.031625
0.581295,r10,0.861586,0.031625
0.644967,r10,0.224998,0.031625
-0.169734,r10,0.121782,0.031625
0.824284,r10,0.813218,0.031625
-0.254066,r10,0.038808,0.031625
0.956482,r11,0.347287,0.037391
0.640333,r11,0.193979,0.037391
0.941462,r11,0.684914,0.037391
1.374358,r11,0.17,0.037391
0.976756,r11,0.199092,0.037391
1.69537,r11,0.652089,0.037391
1.749847,r11,0.531397,0.037391
0.960665,r11,0.28965,0.037391
1.374224,r11,0.715689,0.037391
0.741711,r11,0.525928,0.037391
2.080515,r11,0.429799,0.037391
1.341396,r11,0.410669,0.037391
0.045784,r11,0.05387,0.037391
-0.316442,r11,0.11006,0.037391
0.806708,r11,0.020254,0.037391
1.152733,r11,0.759642,0.037391
0.622727,r11,0.072715,0.037391
1.557185,r11,0.377214,0.037391
1.446061,r11,0.306315,0.037391
0.820209,r11,0.703566,0.037391
2.245138,r12,0.481618,0.483587
1.398002,r12,0.161155,0.483587
1.274861,r12,0.241216,0.483587
1.879606,r12,0.350487,0.483587
2.10954,r12,0.453763,0.483587
1.169198,r12,0.853024,0.483587
1.66922,r12,0.555724,0.483587
1.401925,r12,0.795546,0.483587
1.104593,r12,0.736526,0.483587
0.381405,r12,0.023163,0.483587
0.972219,r12,0.900981,0.483587
1.699459,r12,0.299457,0.483587
1.113401,r12,0.723038,0.483587
0.904358,r12,0.997659,0.483587
2.223418,r12,0.249591,0.483587
1.382431,r12,0.249147,0.483587
1.60458,r12,0.177735,0.483587
0.732415,r12,0.066589,0.483587
1.907872,r12,0.613309,0.483587
2.20655,r12,0.630819,0.483587
2.497404,r13,0.735921,1.192222
2.501873,r13,0.719346,1.192222
1.781164,r13,0.857477,1.192222
2.693764,r13,0.540712,1.192222
2.495032,r13,0.672393,1.192222
2.044678,r13,0.087735,1.192222
2.485572,r13,0.146671,1.192222
3.347682,r13,0.576941,1.192222
1.590274,r13,0.215614,1.192222
1.898797,r13,0.281694,1.192222
2.930622,r13,0.606569,1.192222
1.711047,r13,0.740709,1.192222
2.851856,r13,0.389009,1.192222
0.998701,r13,0.910949,1.192222
1.950941,r13,0.570884,1.192222
2.424734,r13,0.337769,1.192222
1.259337,r13,0.100035,1.192222
1.948497,r13,0.660298,1.192222
2.321107,r13,0.17846,1.192222
2.269763,r13,0.681761,1.192222
2.047634,r14,0.363987,0.597347
2.324185,r14,0.558678,0.597347
1.063663,r14,0.899858,0.597347
0.791529,r14,0.924368,0.597347
1.066938,r14,0.157207,0.597347
1.958182,r14,0.537126,0.597347
1.985087,r14,0.450218,0.597347
2.01325,r14,0.704442,0.597347
1.965849,r14,0.771158,0.597347
2.190059,r14,0.604675,0.597347
1.040748,r14,0.018212,0.597347
1.601216,r14,0.275407,0.597347
1.682604,r14,0.658667,0.597347
1.450528,r14,0.153782,0.597347
1.39455,r14,0.055351,0.597347
2.158272,r14,0.389681,0.597347
1.783652,r14,0.554266,0.597347
1.138013,r14,0.290955,0.597347
2.04485,r14,0.728207,0.597347
2.621321,r14,0.359787,0.597347
0.601087,r15,0.340807,-0.077466
0.048283,r15,0.08373,-0.077466
0.1947,r15,0.023741,-0.077466
1.184874,r15,0.096313,-0.077466
0.342615,r15,0.945024,-0.077466
0.050061,r15,0.853184,-0.077466
0.620583,r15,0.903257,-0.077466
-0.399786,r15,0.999186,-0.077466
0.502731,r15,0.104293,-0.077466
0.90326,r15,0.321324,-0.077466
1.518793,r15,0.8188,-0.077466
1.172546,r15,0.201042,-0.077466
0.510568,r15,0.126039,-0.077466
0.657766,r15,0.998894,-0.077466
0.944614,r15,0.633714,-0.077466
-0.144385,r15,0.146134,-0.077466
1.40198,r15,0.693285,-0.077466
0.593159,r15,0.803076,-0.077466
1.26118,r15,0.369473,-0.077466
0.519178,r15,0.18545,-0.077466
-0.079452,r16,0.239661,-0.514842
0.346697,r16,0.143111,-0.514842
0.654431,r16,0.324595,-0.514842
0.287183,r16,0.175354,-0.514842
0.450689,r16,0.782172,-0.514842
0.949527,r16,0.303523,-0.514842
0.704053,r16,0.638961,-0.514842
0.502429,r16,0.246006,-0.514842
-0.067471,r16,0.768172,-0.514842
1.347139,r16,0.460265,-0.514842
1.156887,r16,0.483897,-0.514842
0.417009,r16,0.486406,-0.514842
0.675317,r16,0.132939,-0.514842
0.516704,r16,0.114448,-0.514842
0.086336,r16,0.829654,-0.514842
0.871442,r16,0.39903,-0.514842
1.198727,r16,0.696245,-0.514842
0.325857,r16,0.649831,-0.514842
-0.26567,r16,0.85203,-0.514842
1.190769,r16,0.641491,-0.514842
1.42319,r17,0.662654,-0.509077
0.974089,r17,0.539018,-0.509077
0.113425,r17,0.169185,-0.509077
0.542693,r17,0.223839,-0.509077
-0.645402,r17,0.071022,-0.509077
1.015425,r17,0.329676,-0.509077
-0.994525,r17,0.121595,-0.509077
0.82934,r17,0.673506,-0.509077
0.545165,r17,0.074681,-0.509077
0.81265,r17,0.810769,-0.509077
-0.375642,r17,0.911317,-0.509077
0.681455,r17,0.287537,-0.509077
0.693659,r17,0.769704,-0.509077
1.562386,r17,0.550086,-0.509077
-0.386431,r17,0.93049,-0.509077
-0.426901,r17,0.988084,-0.509077
0.201965,r17,0.07515,-0.509077
0.01559,r17,0.188149,-0.509077
1.206571,r17,0.676155,-0.509077
0.806419,r17,0.239869,-0.509077
1.487726,r18,0.397817,-0.062881
1.319603,r18,0.42375,-0.062881
1.222136,r18,0.710579,-0.062881
0.657566,r18,0.897825,-0.062881
1.140294,r18,0.416119,-0.062881
1.190264,r18,0.234718,-0.062881
1.142803,r18,0.165862,-0.062881
0.31779,r18,0.073994,-0.062881
1.676214,r18,0.424285,-0.062881
0.17793,r18,0.915328,-0.062881
0.077538,r18,0.982006,-0.062881
1.627221,r18,0.685819,-0.062881
0.983013,r18,0.228819,-0.062881
0.635035,r18,0.101437,-0.062881
1.868937,r18,0.4731,-0.062881
1.769838,r18,0.679034,-0.062881
0.52955,r18,0.814728,-0.062881
0.018723,r18,0.213022,-0.062881
0.940388,r18,0.672103,-0.062881
0.257605,r18,0.104889,-0.062881
1.230211,r19,0.243474,0.322322
1.59283,r19,0.843282,0.322322
1.711729,r19,0.426535,0.322322
1.251391,r19,0.812444,0.322322
1.065388,r19,0.040347,0.322322
1.532403,r19,0.269011,0.322322
0.684094,r19,0.998654,0.322322
2.264877,r19,0.474245,0.322322
1.509588,r19,0.265004,0.322322
1.902002,r19,0.280824,0.322322
1.133311,r19,0.159648,0.322322
2.210024,r19,0.272635,0.322322
0.973383,r19,0.228978,0.322322
2.142304,r19,0.34695,0.322322
1.277434,r19,0.180468,0.322322
1.173003,r19,0.817277,0.322322
0.66475,r19,0.209071,0.322322
1.193323,r19,0.88118,0.322322
0.835598,r19,0.880689,0.322322
1.026542,r19,0.828337,0.322322
1.608855,r20,0.52996,-0.272553
1.69502,r20,0.45844,-0.272553
0.900094,r20,0.733303,-0.272553
1.126332,r20,0.320351,-0.272553
1.448375,r20,0.644149,-0.272553
0.308207,r20,0.873354,-0.272553
1.359,r20,0.575277,-0.272553
0.290755,r20,0.961045,-0.272553
-0.195918,r20,0.394348,-0.272553
0.564038,r20,0.527733,-0.272553
0.663948,r20,0.417592,-0.272553
0.936093,r20,0.184818,-0.272553
0.069797,r20,0.159561,-0.272553
0.796788,r20,0.60813,-0.272553
-0.164324,r20,0.153046,-0.272553
1.350751,r20,0.312468,-0.272553
0.35988,r20,0.140467,-0.272553
-0.322285,r20,0.618813,-0.272553
1.790315,r20,0.672916,-0.272553
1.07663,r20,0.416927,-0.272553
-0.575084,r21,0.088974,-0.947367
0.570215,r21,0.491659,-0.947367
-0.583429,r21,0.807981,-0.947367
-1.263371,r21,0.025815,-0.947367
-0.744385,r21,0.096318,-0.947367
-0.527119,r21,0.86965,-0.947367
0.763471,r21,0.59943,-0.947367
-0.128973,r21,0.370317,-0.947367
-0.54053,r21,0.044149,-0.947367
0.523677,r21,0.138999,-0.947367
0.044322,r21,0.786764,-0.947367
0.686907,r21,0.561981,-0.947367
-0.773883,r21,0.14229,-0.947367
0.832425,r21,0.427593,-0.947367
0.098865,r21,0.294295,-0.947367
0.220403,r21,0.489611,-0.947367
0.296156,r21,0.832874,-0.947367
0.247261,r21,0.09258,-0.947367
0.077001,r21,0.910345,-0.947367
0.482119,r21,0.650539,-0.947367
0.32402,r22,0.579973,-1.384743
-0.958849,r22,0.920881,-1.384743
-0.327549,r22,0.432232,-1.384743
-0.221524,r22,0.340104,-1.384743
-1.287131,r22,0.087798,-1.384743
-0.56601,r22,0.866477,-1.384743
0.181578,r22,0.223935,-1.384743
0.358856,r22,0.518068,-1.384743
-0.81224,r22,0.872164,-1.384743
-0.546751,r22,0.323382,-1.384743
-0.080405,r22,0.810309,-1.384743
-0.021945,r22,0.672708,-1.384743
0.101484,r22,0.426978,-1.384743
0.148367,r22,0.631054,-1.384743
-1.045004,r22,0.911244,-1.384743
-2.43275,r22,0.012746,-1.384743
0.052944,r22,0.187984,-1.384743
-0.078814,r22,0.761098,-1.384743
-0.429612,r22,0.846786,-1.384743
0.154966,r22,0.580477,-1.384743
-0.172986,r23,0.378551,-1.378977
0.010044,r23,0.347235,-1.378977
-0.460155,r23,0.234296,-1.378977
-0.385332,r23,0.134848,-1.378977
-1.154224,r23,0.900452,-1.378977
-0.917277,r23,0.287126,-1.378977
-0.063451,r23,0.415864,-1.378977
-0.004988,r23,0.770757,-1.378977
0.390817,r23,0.547771,-1.378977
-0.397459,r23,0.270602,-1.378977
0.392006,r23,0.732272,-1.378977
-1.806646,r23,0.013021,-1.378977
-0.223395,r23,0.783519,-1.378977
-0.251389,r23,0.671961,-1.378977
-0.567804,r23,0.649911,-1.378977
-0.915505,r23,0.013306,-1.378977
0.560736,r23,0.645324,-1.378977
-0.6287,r23,0.768717,-1.378977
-0.013449,r23,0.642044,-1.378977
-0.153238,r23,0.306739,-1.378977
-0.301227,r24,0.441049,-0.932781
-0.003989,r24,0.30992,-0.932781
0.314372,r24,0.233705,-0.932781
0.143561,r24,0.579766,-0.932781
-1.413885,r24,0.94583,-0.932781
-0.262956,r24,0.830048,-0.932781
-0.21063,r24,0.220934,-0.932781
0.020958,r24,0.663835,-0.932781
-0.841847,r24,0.136161,-0.932781
-0.009102,r24,0.770322,-0.932781
0.441239,r24,0.249795,-0.932781
-0.762361,r24,0.266017,-0.932781
-0.680502,r24,0.76845,-0.932781
-1.114885,r24,0.927234,-0.932781
0.275877,r24,0.140361,-0.932781
0.562563,r24,0.245583,-0.932781
0.475807,r24,0.326619,-0.932781
-0.130824,r24,0.667627,-0.932781
1.196641,r24,0.631446,-0.932781
-1.066205,r24,0.953815,-0.932781
0.594957,r25,0.036279,-0.212688
1.306457,r25,0.733646,-0.212688
0.693143,r25,0.901169,-0.212688
1.344435,r25,0.716282,-0.212688
-0.355973,r25,0.033549,-0.212688
0.979188,r25,0.185104,-0.212688
0.891559,r25,0.891633,-0.212688
0.323299,r25,0.858892,-0.212688
1.715002,r25,0.321605,-0.212688
-0.679001,r25,0.96453,-0.212688
0.741864,r25,0.567776,-0.212688
0.500359,r25,0.250377,-0.212688
0.665925,r25,0.314993,-0.212688
1.371628,r25,0.716276,-0.212688
1.711785,r25,0.454801,-0.212688
-0.424509,r25,0.012277,-0.212688
-0.320046,r25,0.934992,-0.212688
1.043788,r25,0.566102,-0.212688
1.185684,r25,0.191603,-0.212688
1.197155,r25,0.554947,-0.212688
-0.224329,r26,0.676372,-0.807563
1.528811,r26,0.444558,-0.807563
-0.145734,r26,0.855632,-0.807563
-0.157717,r26,0.409891,-0.807563
0.153983,r26,0.58378,-0.807563
-1.121739,r26,0.969691,-0.807563
-0.112348,r26,0.775104,-0.807563
-0.169354,r26,0.735514,-0.807563
-0.070842,r26,0.644701,-0.807563
1.264104,r26,0.522102,-0.807563
-0.331954,r26,0.064705,-0.807563
-0.400901,r26,0.872992,-0.807563
0.473105,r26,0.642527,-0.807563
-0.057647,r26,0.92084,-0.807563
-0.750859,r26,0.972827,-0.807563
-0.298263,r26,0.856443,-0.807563
0.062228,r26,0.472213,-0.807563
0.941186,r26,0.684776,-0.807563
-0.13462,r26,0.897027,-0.807563
0.914423,r26,0.315416,-0.807563
-0.172785,r27,0.733347,-1.482376
-0.250734,r27,0.580303,-1.482376
-0.085751,r27,0.371802,-1.482376
-0.963653,r27,0.01055,-1.482376
-0.23746,r27,0.298355,-1.482376
-0.370579,r27,0.778221,-1.482376
-0.117399,r27,0.477916,-1.482376
-0.983875,r27,0.284224,-1.482376
-0.143621,r27,0.437012,-1.482376
-0.220957,r27,0.428755,-1.482376
0.190454,r27,0.330567,-1.482376
0.26988,r27,0.357981,-1.482376
-0.877253,r27,0.896427,-1.482376
-0.691046,r27,0.945136,-1.482376
-0.083618,r27,0.744929,-1.482376
0.076966,r27,0.507111,-1.482376
-1.506804,r27,0.919419,-1.482376
-0.63791,r27,0.575854,-1.482376
-0.709103,r27,0.34871,-1.482376
-1.475857,r27,0.859113,-1.482376
-0.44334,r28,0.725906,-1.919752
-0.10836,r28,0.426073,-1.919752
-1.351738,r28,0.858907,-1.919752
-1.596542,r28,0.162,-1.919752
-0.322726,r28,0.472096,-1.919752
-1.998858,r28,0.882455,-1.919752
-1.378003,r28,0.840907,-1.919752
-0.18755,r28,0.444848,-1.919752
-0.800447,r28,0.123122,-1.919752
-0.844584,r28,0.840266,-1.919752
-1.193999,r28,0.801512,-1.919752
-1.611151,r28,0.838016,-1.919752
-0.938927,r28,0.375466,-1.919752
-0.591287,r28,0.371262,-1.919752
-0.339895,r28,0.492275,-1.919752
-2.429354,r28,0.900633,-1.919752
-0.792237,r28,0.438666,-1.919752
-1.196875,r28,0.0438,-1.919752
-0.302759,r28,0.781779,-1.919752
-1.021829,r28,0.843883,-1.919752
-0.921828,r29,0.124668,-1.913987
-0.283247,r29,0.6165,-1.913987
-2.046511,r29,0.940952,-1.913987
-1.441704,r29,0.968181,-1.913987
-0.155849,r29,0.60134,-1.913987
-1.751657,r29,0.892082,-1.913987
-0.796633,r29,0.516918,-1.913987
-1.085929,r29,0.422361,-1.913987
-0.867757,r29,0.815972,-1.913987
-1.495424,r29,0.13629,-1.913987
-1.191837,r29,0.601328,-1.913987
-2.496937,r29,0.005036,-1.913987
-1.825333,r29,0.062776,-1.913987
0.057623,r29,0.577233,-1.913987
-0.796103,r29,0.874043,-1.913987
-1.128363,r29,0.238643,-1.913987
-0.769865,r29,0.273562,-1.913987
-0.793422,r29,0.285895,-1.913987
-0.578226,r29,0.530006,-1.913987
-1.001701,r29,0.798523,-1.913987
-0.162929,r30,0.350126,-1.467791
-1.059204,r30,0.122196,-1.467791
-2.252525,r30,0.054901,-1.467791
-0.814795,r30,0.533959,-1.467791
0.213956,r30,0.712877,-1.467791
-0.209651,r30,0.36071,-1.467791
-0.312127,r30,0.324978,-1.467791
-0.659702,r30,0.118275,-1.467791
-0.769094,r30,0.964286,-1.467791
-0.414103,r30,0.807714,-1.467791
0.757719,r30,0.598889,-1.467791
-0.914284,r30,0.319807,-1.467791
-0.256018,r30,0.436537,-1.467791
-0.052936,r30,0.770219,-1.467791
0.136913,r30,0.720543,-1.467791
-1.171481,r30,0.016416,-1.467791
-0.029929,r30,0.382902,-1.467791
-0.426945,r30,0.299754,-1.467791
0.040118,r30,0.399775,-1.467791
-1.000294,r30,0.831848,-1.467791
0.716716,r31,0.75184,-0.007922
0.023126,r31,0.128382,-0.007922
1.492865,r31,0.766616,-0.007922
0.536503,r31,0.898767,-0.007922
1.278119,r31,0.790229,-0.007922
1.474916,r31,0.665351,-0.007922
0.658617,r31,0.18415,-0.007922
0.398689,r31,0.90871,-0.007922
0.362291,r31,0.944605,-0.007922
0.937852,r31,0.287155,-0.007922
1.167987,r31,0.822744,-0.007922
1.228728,r31,0.31639,-0.007922
1.252639,r31,0.732191,-0.007922
0.780011,r31,0.451963,-0.007922
0.728459,r31,0.766553,-0.007922
0.733944,r31,0.271218,-0.007922
-0.310314,r31,0.941263,-0.007922
1.049947,r31,0.256672,-0.007922
0.761268,r31,0.153008,-0.007922
0.644612,r31,0.338423,-0.007922
1.392582,r32,0.549444,-0.602797
1.540861,r32,0.385422,-0.602797
-0.693951,r32,0.116568,-0.602797
0.573271,r32,0.286934,-0.602797
1.33058,r32,0.709089,-0.602797
0.865007,r32,0.60743,-0.602797
-0.042731,r32,0.911538,-0.602797
-0.33389,r32,0.185511,-0.602797
0.288122,r32,0.643151,-0.602797
0.185701,r32,0.916911,-0.602797
0.3852,r32,0.686161,-0.602797
1.160401,r32,0.292974,-0.602797
0.784151,r32,0.657213,-0.602797
-0.004121,r32,0.159852,-0.602797
1.214229,r32,0.339051,-0.602797
-0.053633,r32,0.793842,-0.602797
1.156181,r32,0.477314,-0.602797
1.864849,r32,0.505022,-0.602797
0.454436,r32,0.855972,-0.602797
0.445342,r32,0.358409,-0.602797
-0.91881,r33,0.01269,-1.277611
-0.477888,r33,0.473208,-1.277611
-0.523882,r33,0.635122,-1.277611
0.343537,r33,0.392104,-1.277611
-0.860037,r33,0.942623,-1.277611
-0.301369,r33,0.832902,-1.277611
-1.140186,r33,0.977738,-1.277611
-0.10999,r33,0.260706,-1.277611
0.099262,r33,0.517611,-1.277611
-0.635771,r33,0.09222,-1.277611
-1.351162,r33,0.033308,-1.277611
-1.02504,r33,0.991956,-1.277611
-0.291308,r33,0.758427,-1.277611
-1.120626,r33,0.024949,-1.277611
-0.881508,r33,0.173426,-1.277611
-0.243901,r33,0.437866,-1.277611
-0.259642,r33,0.620867,-1.277611
0.230992,r33,0.37396,-1.277611
0.181623,r33,0.231665,-1.277611
0.131528,r33,0.251904,-1.277611
-0.23932,r34,0.5404,-1.714987
-0.822272,r34,0.307598,-1.714987
-1.104264,r34,0.760245,-1.714987
-0.889731,r34,0.144242,-1.714987
-1.775472,r34,0.973667,-1.714987
0.477737,r34,0.460023,-1.714987
-0.153255,r34,0.300649,-1.714987
-0.033513,r34,0.344598,-1.714987
-1.735098,r34,0.114451,-1.714987
-0.524986,r34,0.681086,-1.714987
0.212551,r34,0.696794,-1.714987
-2.036758,r34,0.838879,-1.714987
-1.045721,r34,0.685839,-1.714987
-0.229188,r34,0.724283,-1.714987
-0.652362,r34,0.56536,-1.714987
-1.254364,r34,0.77898,-1.714987
-1.482022,r34,0.943956,-1.714987
-0.250683,r34,0.338193,-1.714987
-1.127251,r34,0.919222,-1.714987
-0.745274,r34,0.280118,-1.714987
0.121115,r35,0.442645,-1.709221
-0.534547,r35,0.922129,-1.709221
-1.334482,r35,0.97271,-1.709221
-1.213024,r35,0.006447,-1.709221
0.385659,r35,0.542731,-1.709221
-0.575262,r35,0.702669,-1.709221
-2.100035,r35,0.946371,-1.709221
-1.143735,r35,0.798611,-1.709221
0.348102,r35,0.645324,-1.709221
-0.979347,r35,0.723419,-1.709221
-1.408983,r35,0.027994,-1.709221
-0.523297,r35,0.731914,-1.709221
-1.152942,r35,0.101254,-1.709221
-0.724057,r35,0.693204,-1.709221
-1.994086,r35,0.030519,-1.709221
-0.852297,r35,0.932905,-1.709221
-0.365861,r35,0.770685,-1.709221
0.393604,r35,0.378766,-1.709221
0.304057,r35,0.280709,-1.709221
0.159303,r35,0.713638,-1.709221
-0.231118,r36,0.297339,-1.263025
0.73219,r36,0.629595,-1.263025
0.095575,r36,0.694298,-1.263025
0.744646,r36,0.562775,-1.263025
-0.052253,r36,0.190605,-1.263025
-0.446852,r36,0.743001,-1.263025
-0.259339,r36,0.699122,-1.263025
-0.973655,r36,0.981772,-1.263025
-0.266224,r36,0.269475,-1.263025
-0.867778,r36,0.906432,-1.263025
-0.365378,r36,0.801614,-1.263025
-0.749602,r36,0.382597,-1.263025
0.108307,r36,0.819556,-1.263025
0.077073,r36,0.799066,-1.263025
-0.720711,r36,0.798618,-1.263025
-0.885856,r36,0.894294,-1.263025
0.358856,r36,0.680677,-1.263025
0.173123,r36,0.33772,-1.263025
-0.569984,r36,0.216712,-1.263025
-0.54467,r36,0.150646,-1.263025
